instructor_id,first_name,last_name,status,instructor_email,home_department
,Anaé,Rosengren,0,nrosengren0@virginia.edu,13
,Dafnée,Milson,0,pmilson1@cornell.edu,6
,Crééz,Rowena,0,mrowena2@vistaprint.com,5
,Mégane,Effaunt,0,ceffaunt3@yelp.com,11
,Vérane,Boken,0,uboken4@google.co.uk,10
,Lyséa,Wheelan,0,awheelan5@diigo.com,12
,Edmée,Dubock,0,gdubock6@nyu.edu,7
,Marie-noël,Rickersy,0,srickersy7@mysql.com,7
,Andréanne,Kitching,0,ekitching8@dmoz.org,7
,Bérénice,Beyne,0,fbeyne9@wikia.com,12
,Andréa,Di Domenico,0,tdidomenicoa@who.int,2
,Eléa,Rennox,0,mrennoxb@amazon.co.jp,10
,Gérald,Heart,0,gheartc@cnn.com,8
,Françoise,Jubb,0,ajubbd@uiuc.edu,4
,Torbjörn,Frawley,0,rfrawleye@blog.com,13
,Stévina,Simner,0,lsimnerf@usda.gov,2
,Cléa,Darby,0,wdarbyg@tripod.com,13
,Cécile,Coutts,0,ecouttsh@google.com.br,13
,Gaétane,Edmonstone,0,eedmonstonei@independent.co.uk,10
,Gisèle,Borsnall,0,pborsnallj@cornell.edu,1
,Lóng,Pruckner,0,mprucknerk@free.fr,13
,Ruì,Bogays,0,jbogaysl@alexa.com,9
,Dorothée,Freshwater,0,nfreshwaterm@mozilla.org,3
,Andréanne,Bray,0,lbrayn@bandcamp.com,9
,Stéphanie,Jozefczak,0,ojozefczako@economist.com,3
,Ruì,Keetley,0,rkeetleyp@e-recht24.de,6
,Intéressant,Shutler,0,cshutlerq@parallels.com,13
,Loïs,Jacombs,0,ajacombsr@youtube.com,4
